problem_description,count,invoice_ids
لا يقراء كرت الفيجا,2,"233,233"
Change 2.5 Audio Socket,2,"236,236"
Change KB -- 850 LE,2,"237,237"
ADD SSD 128G _ CADY,2,"238,238"
كسر في الهوسينج,2,"249,249"
Rounting Mintans - Install OS,2,"251,251"
No Data From 150- 750,2,"252,252"
No Power 150-450,2,"256,256"
No Power 250 - 850,2,"258,258"
Change New Battery Orignal(1550) -,2,"260,260"
تغييير شاشه,2,"266,267"
قاطع باور + تغيير شاشه,2,"270,270"
Fan Speeed after Sleep -,2,"281,281"
No Power From 150 to,2,"283,283"
Cooling System Pro (550) -,2,"287,287"
كسر ف الهوسنج 650,2,"289,289"
تغيير كبل,2,"293,293"
No Power 150-1750,2,"297,297"
اصلاح المفصلات (450-650),2,"298,298"
Add New ssd 256G,2,"299,299"
NO DATA,2,"302,768"
Cooling System - Change Fan,2,"304,304"
NO power,2,"305,305"
No Power (150-800),2,"306,306"
No Data (250-1500) - Change,2,"309,309"
Change New KB (850) -,2,"317,317"
No Boot - Password Boot,2,"325,325"
يحتاج اللي حجر VGA,2,"331,331"
VGA - Full Test,2,"332,332"
تغيير شاشه Range from 2100,2,"333,333"
No Power Laquide Diamige From,2,"342,342"
Install OS - Shutdoun Automatic,2,"346,346"
بقع فا لاشاشه - سيموس,2,"353,353"
No Power- Full Test -,2,"355,355"
Need Screen - No Back,2,"356,356"
BT - Full Test -,2,"361,361"
VGA - DVD - HDD,2,"362,362"
no pawr بدون هارد وراما,2,"365,365"
Change SSD 512 Sumsung EVO,2,"370,370"
The service tag does not,2,"373,373"
Fix Fan - Cooing System,2,"374,374"
Regular maintenance + windows +,2,"376,376"
ThinkPad T490+ زرار كيبورد ناقص,2,"379,379"
سوكت الشحن في مشكله,2,"380,380"
محتاج SSD256 +software,2,"381,381"
تغير شاشه+ software,2,"383,383"
ناقص زرار + software,2,"387,387"
محتاج هارد256 + تمت اضافه,2,"390,390"
اضافه SSD,2,"391,391"
قاطع باور Price range from,2,"394,394"
شغال باور وداتا ومبيعرضش,2,"396,396"
الشاشه بتجيب خطوط,2,"399,399"
ساوفت وير,2,"400,400"
No Sound,2,"403,403"
Battery Stop Charg 50% to,2,"406,406"
مشكله في الرمات,2,"410,410"
No Power t0 950LE,2,"411,411"
سعات يشحن وساعات لا (Work,2,"416,416"
No Power - سعات يشتغل,2,"417,417"
Change New KB 470 -,2,"419,419"
No Power from 250 to1250,2,"426,426"
بلو اسكرين,2,"427,753"
No Power to 900LE,2,"428,428"
Full Test - USB Ports,2,"429,429"
Add SSD 128G + Ram,2,"430,430"
مرتجع صيانه ... فاتوره سابقه,2,"439,439"
No Power Working Rang 500Le,2,"441,441"
بيقفل لوحدو من 350 حتي,2,"449,449"
Cahnge New Screen,2,"450,450"
Lag,2,"455,455"
No Data - الجهاز متفكك,2,"461,461"
قاطع داتا + مرتجع صيانه,2,"475,475"
صيانه دوريه 550 - Full,2,"476,476"
تغيير هوسينج,2,"484,742"
انسكب عليه (ببس) تملفه تنظيف,2,"491,491"
انسكب عليه سائل ... تنظيف,2,"495,495"
No Power Up[ to 1200LE,2,"496,496"
No Power - شكوه العميل,2,"498,498"
No Power - Up to,2,"499,499"
كسر هوسينج : من 450,2,"504,504"
لا يعمل علي البطاريه +بيسخن,2,"505,505"
لا يعمل علي البطاريه,2,"507,507"
اوقات يشتغل و اوقات لا,2,"511,511"
قاطع باور من 450 حتي1000,2,"514,514"
لا يقراء الشاحن (فحص دائره,2,"515,515"
Cooling System Ultra 850LE,2,"521,521"
Fix Hosing From 950 to,2,"523,523"
Fix Hosing From 450 To,2,"526,526"
NO Power - Full Test,2,"530,530"
Chack Fan - Cooling Sysem,2,"531,531"
Change Power Socket - تخفيف,2,"532,532"
Ulock Bios Password,2,"536,536"
Change New Screen 15.6 From,2,"537,537"
Upgread to SSD 128g,2,"538,539"
الجهاز واقع عليه مياه -,2,"543,543"
سوفت ورير + تغيير 2,2,"548,548"
TP Not working,2,"550,550"
سوكت البطاريه مكسور,2,"553,562"
صيانه دوريه نسخه,2,"557,557"
Fix Hosing Rang 450 to,2,"569,569"
قاطع باور Range from 250,2,"570,650"
كسر هوسيتنج,2,"572,572"
كسر ف المفصلات Working Rang,2,"583,583"
Freeze,2,"601,601"
كسر ف المفصلات Working Ring,2,"603,614"
ويندوز + كسر هوسينج +,2,"605,605"
الUSBs لا تعمل,2,"619,1175"
Install software,2,"624,625"
No Power Chort Circuit Working,2,"630,630"
قاطع دتا تغيير هوسينج (2500),2,"631,631"
Chick Charger Circuit Working Ring,2,"652,652"
No Power Working Ring 205,2,"665,665"
تركيب هارد وبطاريه,2,"670,1083"
قاطع باور رنج من (250,2,"672,672"
بلؤ اسكرين,2,"675,675"
Fix Hosing Using Working Ring,2,"680,680"
هارد 128 رام 8,2,"681,681"
Fix Hosing Working Ring 650,2,"685,685"
اصلاح هاوسنج من 850 الي,2,"689,689"
Change New Keyboard,2,"690,690"
Fix Hosing Working Rang 550,2,"691,691"
no powr Working Ring 250,2,"695,695"
Beep Code 7 - No,2,"700,700"
تغيير البطارية والكيبورد الباسورد :,2,"714,714"
No Power Working ring 250,2,"715,715"
No Data - كسر ف,2,"716,716"
كسر في الشاشه قاطع داتا,2,"729,729"
Change New Batter 950 -,2,"748,748"
Add SSd 1T 3800 +,2,"749,749"
اركيب هارد,2,"756,756"
Change NEw Fan (350-650) -,2,"757,757"
قاطع داتا رنج من 250,2,"764,764"
اصلاح هوسينج رنج من 650,2,"766,915"
NO Power - الجهاز واقع,2,"767,767"
تغيير هارد,2,"776,777"
Add SSD 128G + Up,2,"778,778"
Change Fan High Quilty 650,2,"782,782"
Cooling System Ultra 850 -,2,"783,783"
Add SSD 256G 1550,2,"798,798"
تنزيل ويندوز,2,"804,804"
Cooling System PS:faroo7i2021,2,"809,809"
الجهاز بطي جدا,2,"810,810"
NO PAWR,2,"811,811"
no pawr to250 from1750,2,"812,812"
BT,2,"819,819"
kb - Power Cheek,2,"820,820"
Full Test - Chaange Hosing,2,"826,826"
Add SSD 128G 95 Le,2,"827,827"
الهاوسينج to550 from 850- الشاشه,2,"829,829"
تركيب ssd,2,"834,1094"
No Power Short Circuit Working,2,"837,837"
NO POWR,2,"841,841"
Change New Battery,2,"848,1405"
قاطه باور,2,"849,849"
قاطع باور + واقع عليه,2,"851,851"
مشكله في الهارد ويوجد ليكويد,2,"854,854"
مشكله في الysb,2,"859,859"
المفصلات-هارد 512 ssd,2,"862,862"
بدون هارد + قاطع داتا,2,"864,864"
Change New Screen - استعلام,2,"866,866"
Cooling /system,2,"870,870"
Restarting - الجهاز يظهر اللوجو,2,"871,871"
تست بشكل كامل,2,"872,872"
بيقف علي الوجو,2,"875,875"
Power Socket 550LE,2,"879,879"
Add 128G,2,"881,881"
no pwor to 250 from,2,"888,888"
Add 1Thdd + Orignal Battery,2,"897,897"
NO POWR TO250FROM1450,2,"902,902"
الجهاز انسكب عليه سائل -,2,"904,904"
no pwor مشكله في دايره,2,"910,910"
اصلاح مفصلات to450 from 650,2,"911,911"
الجهاز منسكب عليه سائل -,2,"914,914"
تغير كيبورد اصلاح هاوسينج,2,"917,917"
Add SSD 256G 1450 +,2,"918,918"
no pwor to250 from1850,2,"930,930"
زرع بن لبورت الرامات 750,2,"934,934"
Blue Screen,2,"938,987"
بطيئ - فحص كامل,2,"945,945"
NO POWR TO250 FROM1750,2,"958,958"
Very Slow,2,"959,1301"
بيرستارت بعد وقت ثابت من,2,"965,966"
No Power - يوجد اثار,2,"967,967"
No Power - سوكت الشحن,2,"968,968"
صيانه دوريه (1250),2,"974,974"
Change AHosing AB Cost 1950,2,"990,990"
الجهاز بيقف علي الوجو to,2,"992,992"
محتاج شاحن (450) اصلاح هوسينج,2,"1000,1000"
اصلاح مفصلات to650 from1000,2,"1004,1004"
الهاوسنج مكسور العمل سيتم تحت,2,"1005,1005"
قاطع باور بشكل كامل رج,2,"1018,1018"
رنج من 350 حتي 1800,2,"1022,1022"
Full tast,2,"1024,1024"
No Power - Restarting,2,"1027,1027"
مشكله ف الاداء العام و,2,"1028,1028"
Stop Logo,2,"1035,1065"
غير معلوم,2,"1039,1039"
كسر ف الشاشه و المفصلات,2,"1040,1040"
No Power - بورت الRTC,2,"1042,1042"
مبيشحنش رنج من من 250,2,"1052,1052"
Upgread SSD 128G 1100LE +,2,"1056,1056"
Full Test 150LE,2,"1062,1373"
قاطع باو بشكل كامل نج,2,"1067,1067"
الجهاز كان موجود عندنا من,2,"1068,1068"
كيبورد,2,"1079,1079"
كسر ف المفصلات 1450,2,"1084,1084"
الجهاز بيجيب بلو اسكرين عند,2,"1085,1085"
No Data Working Ring 250,2,"1090,1090"
no powr to250 from1250,2,"1099,1099"
مبيشحنش رنج من 350 حتي,2,"1102,1103"
مشكله ف الهارد,2,"1104,1104"
بطاريه - بطئ ف الفتح,2,"1105,1105"
وصف العميل انه بيعلق علي,2,"1106,1106"
المفصله مكسوره - بدون عصفوره,2,"1108,1108"
Depends on the Dell logo,2,"1114,1114"
الجهاز لا يعمل باور ويعطي,2,"1116,1116"
الجهاز مبيشتغلش الي بتوصيل الشاحن,2,"1117,1117"
قاطع باور + بدون بطاريه+,2,"1118,1118"
قاطع باور + بدون بطاريه,2,"1119,1119"
قاطع باور + بدون كارت,2,"1120,1120"
مشكله ف الفان + صيانه,2,"1121,1121"
شغال باور وداتا بس مبيعرضش,2,"1124,1124"
Wifi Not Working,2,"1125,1125"
الشاشه بتطفي وتعلق,2,"1126,1126"
no power due to liquid,2,"1134,1134"
No Power - Fix Hosing,2,"1145,1145"
الجهاز بفصل لواحده بشكل عشوائي,2,"1155,1155"
كسر ف المفصلات و الهاوسنج,2,"1164,1164"
اعاد ادخال بكود 1105 ..,2,"1165,1165"
الجهاز واقع عليه نسكافيه.,2,"1166,1166"
الجهاز بطئ جدا و بالفحص,2,"1171,1171"
لا يدخل على البوت,2,"1176,1176"
بيعمل صوت وبيفريز اول ميتوصل,2,"1183,1183"
كسر ف المفصلات رنج التكلفه,2,"1196,1196"
Change Keyboard: 1750LE - Cooling,2,"1198,1198"
مشكله ف ال tybc وكل,2,"1216,1216"
كسر ف المفصلات و شرخ,2,"1227,1227"
Cooling System 550 - Add,2,"1228,1228"
Fix Hosing Working Raing 550,2,"1231,1362"
Fix Hosing Working Raing 650,2,"1239,1320"
KB - Fulll Test,2,"1243,1243"
Cooling System Ultra 1200/ُ -,2,"1246,1246"
Cooling System - Fix Hosing\,2,"1256,1256"
Change Hosing CD,2,"1258,1258"
No Power Workin Raing t0,2,"1260,1260"
- Change New Battery Orig,2,"1269,1269"
غير مستقر ف قرائه الهارد,2,"1277,1277"
الجهاز بيجيب بلو اسكربن بشكل,2,"1278,1278"
No Data Working Ranig 500,2,"1289,1289"
المفصلات مكسوره 550 = 750,2,"1314,1314"
Working Raing 500 to 1650LE,2,"1318,1318"
No Data - Watter Damige,2,"1328,1328"
Chnge KB,2,"1338,1338"
Fix Hosing 850 to 1350,2,"1340,1340"
No Power Working Ring 500,2,"1347,1347"
Change KB (Original) - Cooling,2,"1354,1354"
Fix Hosing 650 - 850LE,2,"1355,1355"
No Data - Working Raing,2,"1382,1382"
Power No Data - Working,2,"1384,1395"
كسر ف قواعد المفصلات تكلفه,2,"1386,1386"
Fix Hosing Working Raing 1000,2,"1388,1388"
Cooling System Pro 850LE -,2,"1390,1390"
استبدال البطاريه,1,4
البطاريه لا تزيد عن 55%,1,7
وايفاي + زرار مكسور,1,12
No power,1,15
no data,1,17
Touch not working,1,19
دايرة الشحن,1,20
فحص كامل - Power NO,1,21
كسر في هاوسينج C,1,22
"هاوسينج A,B - بعض USB",1,23
فانة وبيهنج عند تنزيل الوندوز,1,24
كسر ف الهوسنج و سوكت,1,27
upgrade ssd to 256 new,1,28
Install Windows,1,30
Upbred SSD + Cady,1,35
Lag - Blue Screen عند,1,37
لاج فــ الكيبورد و التاتش,1,42
-Wifi Not Work Lan Not,1,46
كسر ف الشاشه - كسر,1,47
تغيير شاشه - بطاريه اورجنال,1,60
Blue Screen - اصلاح المفصله,1,61
LAG - Full Test -,1,62
upgrade To SSD 128G,1,63
تغيير شاشه - كيبورد -,1,69
Cooling System Maintenance,1,70
تغيير شاشه 120 HZ,1,74
Upgrad To SSD 128 +,1,79
بدون DVD - فحص كامل,1,80
اصلاح دائره الشحن,1,82
سخونيه عاليه - لاج -,1,84
تغيير شاشه وتم دفع 1900,1,86
سوفت وير + البطاريه بايظه,1,87
Clone To SSD تم استلام,1,89
add New SSD 256 +,1,96
الشاشه بتجيب خطوط بعد ساعتين,1,98
Upgrad To SSD 512G,1,105
مرتجع الشاشه بتجيب خطوط بعد,1,107
فحص فلاته الهارد الSATA,1,113
Change New KB Orignal and,1,117
سوفت وير ونقل الداتا (,1,127
Upgrad To SSD M.2 Nvme,1,141
Battery Not Charge - Unlock,1,146
Upgread to ssd 128G -,1,147
Cooling System Pro - Install,1,149
keyboard+ software,1,153
Install Os 150 LE,1,155
Limited Charging 54%,1,160
Upgread To 256G Nvme -,1,164
Upgraed To SSD M.2 256G,1,165
Upgraed HDD To 1T -,1,166
Upgrad To SSD 256G,1,169
لا يعمل مع البطاريه,1,171
3dmax - vray -,1,173
Reset Os,1,175
"Change New Screen 15,6 40Pin",1,185
Change Power Socket,1,188
SW,1,192
بدون بطاريه .. Hard Not,1,193
Upgread To SSD 256G -,1,207
No Power 1500 to 3500LE,1,209
No Power Up To 550,1,212
Install Os - Full Test,1,218
Power No Data (UP to,1,220
Fix Bios,1,221
مشكله في الويفاي + سوفت,1,235
No Power 500 to 1750,1,240
دائره الشحن غير مستقره-- البطاريه,1,241
كسر ف المفصلات 450 -,1,243
Periodic maintenance+ The fan has,1,250
Cooling System Maintenance 550 +,1,253
Install Orignal OS,1,255
Cooling System 450 - Full,1,257
White Screen - Key Broken,1,264
Cooling System - Sata Port,1,269
مشكله في دايره الشحن,1,271
تشغيل دونلود مانجر,1,274
"Problems with turning on, turning",1,275
Change Full Hosing - Fix,1,285
كسر ف الهاوسنج (450 -,1,288
Add HDD 320 (250) +,1,290
Change New Cable,1,291
Adding an SSD + adding,1,295
No Power (250-1350),1,308
فاتوره رقم 271 - test,1,314
Change housing 2450,1,319
كسر هوسنج Price range from,1,320
Camera Not Work,1,324
Stop Logo - Boot Error,1,327
مشكله في الشاشه (خط اعلي,1,334
Test the screen and flats,1,350
full Test - add Cam,1,354
Full Test - Need HDD,1,357
الجهاز كان جاي يغير كيبورد,1,360
الجهاز متفكك بالكامل - بدون,1,363
Change hard drive + windows,1,367
مشكله في الباور,1,368
01009768676,1,372
Change keyboard for 2250,1,377
تغيير شاشه +software,1,386
Changing the charging ring socket,1,392
Problem in the BIOS,1,395
Change van,1,404
Change KB 650LE - Cooling,1,405
نسخه,1,407
Hard writing + CAD +,1,409
Chack Fan,1,418
حراره - صيانه دوريه,1,436
يفصل باور عند تشغيل الويندوز,1,438
Slow Post OS,1,440
Full Test -Check Screen,1,447
حراره,1,459
Cooling System Maintenance Pro 650Le,1,463
"Change New Screen 14""",1,464
Fix Hosing 450-650 LE,1,465
Change Power Socket - Back,1,471
كسر هوسينجMoney range from 350,1,473
مشكله في السمعات + تغيير,1,474
يقف على نسبة معينة فى,1,477
تركيب فانه,1,482
Cooling System Pro 650 -,1,486
صاينه دوريه + اصلاح هوسينج,1,487
add ssd 128G + install,1,488
Cooling System - Chick Fan,1,492
Full Test - Test VGA,1,493
تغيير شاشه The price of,1,501
مفصلات مكسوره,1,502
تركيب min,1,503
لا يقرا هارد ولا يفتح,1,512
UpgreAD tO ssd aND cOOLING,1,529
مشكله ف الفلاته,1,544
كان موجود بمشكله في الشحن,1,546
Full Test - Fix Fan,1,549
add ssd 128G,1,552
no Power,1,554
تنزيل برامج,1,559
تغيير مازر بورد,1,560
كولينج,1,561
MB Only No Power +,1,563
بطاريه ويحتاج اللي حجر بدون,1,566
البطاريه لا تعمل جيدا بعد,1,567
كولينج وسوفت وير,1,568
مشكله في الفلاته,1,571
تركيب هارد ssd + صيانه,1,573
Change New Battery Orignal Pric,1,577
Change New Screen 1850 +,1,578
(Cooling System pro 650LE (485LE,1,579
تنضيف سمعات + تنضيف كيبورد,1,582
Wi-Fi antenna is cut off,1,584
Full test الجهاز عباره عن,1,585
الجهاز عباره عن MB +D,1,586
Blue Screen Working t0 350LeModify,1,587
Upgread To SSD 1T +,1,588
Upgreadd to ssd 5121 650,1,589
Test And Ghange New Screen,1,590
Change Screen + Add SSD,1,591
كسر في الشاشه,1,595
OS 150 + Cooling System,1,596
Chick Fan + Cooling System,1,598
الشاشه بترعش ... تم عمل,1,604
No Power Working Ring From,1,613
Change headphones,1,621
اللابتوب فيه مشكله في الكاميرا,1,622
الشاشه مكسوره,1,626
install OS + New Charger,1,627
Cooling Systen 350Le,1,628
تركيب هارد 512 + سوفت,1,629
Upgread To SSD,1,633
الشاشه بها اسكرتشات - Add,1,634
No Power الجهاز متفكك بالكامل,1,637
مشكله ف الكيبورد,1,638
Cooling System Pro 650Le,1,639
الجهاز يظهر اللوجو فقط ولا,1,640
الهارد ال HDD اوقات بيفصل,1,641
Fix RPM Fan working Ring,1,644
Fix Anntena,1,645
Cooling System 550,1,646
صيانه دوريه 550 + برنامج,1,649
الجهاز كان لا يعمل كليكات,1,651
شوكت الشحن في مشكله,1,653
تغيير هار512 + تنزيل سوفت,1,654
Chack Screen And Vga,1,661
Power No Data... Fan Working,1,662
Chick Vga,1,663
Install OS 150Le - Install,1,666
No Back Light - هيتم,1,667
No Power - اصلاح المشكلف,1,676
Change New Speaker,1,677
كسر في المفصلات و باغه,1,679
No Power - بدون RTC,1,686
اصلاح هاوسينج 450 لي650,1,693
Add SSD 128G,1,697
بيسخن والبروسيسور بيرفع100 ويفصل,1,698
Cooling System 650 - Install,1,701
Cooling System Ultra 850,1,702
No Data Working Ring from,1,704
مبيشحنش - مشكلة في البطارية,1,713
Add SSD 128G & Install,1,717
no deta رنج من 250,1,721
Cooling System Pro 550LE -,1,725
Cooling System Pro 550LE,1,726
كسر هوسينج رنج من 450,1,728
Change New Battery + Cooling,1,735
نركيب هارد,1,736
اصلاح التاتش باد,1,743
كسر في الهوسينج + تغيير,1,744
كسر ف الهاوسنج,1,746
Fix Hosing from 450 to,1,750
تركيب SSD + كادي +,1,754
